Epoch     	Mloss_in  	Mloss_out 	Time      |	ML     HCS      RL	|	ML     CCS      RL	|	ML     NCS      RL	|	ML     FCS      RL	|	ML     1JCH     RL	|	ML     1JCC     RL	|	ML     1JNH     RL	|	ML     1JNC     RL	|	ML     1JFC     RL	|	ML     2JCH     RL	|	ML     2JHH     RL	|	ML     2JCC     RL	|	ML     2JNH     RL	|	ML     2JNC     RL	|	ML     2JFH     RL	|	ML     2JFC     RL	|	ML     2JFF     RL	|	ML     3JCH     RL	|	ML     3JHH     RL	|	ML     3JCC     RL	|	ML     3JNH     RL	|	ML     3JNC     RL	|	ML     3JFH     RL	|	ML     3JFC     RL	|	ML     3JFF     RL	|	ML     4JCH     RL	|	ML     4JHH     RL	|	ML     4JCC     RL	|	ML     4JNH     RL	|	ML     4JNC     RL	|	ML     4JFH     RL	|	ML     4JFC     RL	|	ML     4JFF     RL	|
499       	0.0009    	0.0032    	23.094    |	0.0016      0.0263	|	0.0013      0.3582	|	0.0018      1.0390	|	0.0035      0.6992	|	0.0011      0.2814	|	0.0009      0.2424	|	0.0021      0.1913	|	0.0017      0.1137	|	0.0033      0.7627	|	0.0010      0.1154	|	0.0013      0.0672	|	0.0015      0.0818	|	0.0015      0.0456	|	0.0016      0.0542	|	0.0079      0.4023	|	0.0041      0.3386	|	0.0035      1.3964	|	0.0016      0.0879	|	0.0012      0.0644	|	0.0017      0.0703	|	0.0023      0.0270	|	0.0023      0.0259	|	0.0034      0.2245	|	0.0032      0.1617	|	0.0054      1.1143	|	0.0021      0.0337	|	0.0017      0.0278	|	0.0017      0.0285	|	0.0019      0.0119	|	0.0018      0.0124	|	0.0027      0.1004	|	0.0026      0.1040	|	0.0056      0.6538	|
524       	0.0009    	0.0034    	23.339    |	0.0016      0.0260	|	0.0013      0.3489	|	0.0017      0.9955	|	0.0036      0.7212	|	0.0011      0.2815	|	0.0009      0.2461	|	0.0021      0.1912	|	0.0017      0.1130	|	0.0034      0.7880	|	0.0010      0.1159	|	0.0013      0.0676	|	0.0015      0.0820	|	0.0015      0.0451	|	0.0016      0.0545	|	0.0082      0.4199	|	0.0041      0.3324	|	0.0038      1.5205	|	0.0015      0.0873	|	0.0012      0.0644	|	0.0017      0.0696	|	0.0023      0.0269	|	0.0023      0.0260	|	0.0037      0.2406	|	0.0031      0.1592	|	0.0041      0.8598	|	0.0021      0.0334	|	0.0016      0.0276	|	0.0017      0.0283	|	0.0019      0.0118	|	0.0018      0.0123	|	0.0026      0.0967	|	0.0025      0.0976	|	0.0055      0.6447	|
549       	0.0008    	0.0031    	23.075    |	0.0016      0.0254	|	0.0013      0.3466	|	0.0018      1.0044	|	0.0036      0.7207	|	0.0011      0.2752	|	0.0009      0.2424	|	0.0022      0.1981	|	0.0017      0.1111	|	0.0034      0.7908	|	0.0010      0.1118	|	0.0013      0.0661	|	0.0015      0.0800	|	0.0015      0.0445	|	0.0016      0.0535	|	0.0083      0.4258	|	0.0038      0.3150	|	0.0037      1.4640	|	0.0015      0.0857	|	0.0012      0.0629	|	0.0017      0.0696	|	0.0023      0.0266	|	0.0023      0.0258	|	0.0035      0.2275	|	0.0031      0.1581	|	0.0053      1.0931	|	0.0020      0.0326	|	0.0016      0.0267	|	0.0017      0.0277	|	0.0019      0.0115	|	0.0018      0.0122	|	0.0027      0.0992	|	0.0025      0.0999	|	0.0052      0.6040	|
574       	0.0008    	0.0031    	24.417    |	0.0016      0.0255	|	0.0013      0.3482	|	0.0017      0.9838	|	0.0036      0.7298	|	0.0011      0.2754	|	0.0009      0.2370	|	0.0022      0.1969	|	0.0016      0.1083	|	0.0034      0.7984	|	0.0010      0.1114	|	0.0013      0.0657	|	0.0015      0.0799	|	0.0014      0.0437	|	0.0016      0.0532	|	0.0073      0.3746	|	0.0040      0.3292	|	0.0037      1.4864	|	0.0015      0.0854	|	0.0012      0.0634	|	0.0016      0.0684	|	0.0023      0.0265	|	0.0023      0.0256	|	0.0032      0.2124	|	0.0031      0.1554	|	0.0046      0.9551	|	0.0020      0.0325	|	0.0016      0.0270	|	0.0017      0.0276	|	0.0019      0.0116	|	0.0018      0.0121	|	0.0026      0.0962	|	0.0026      0.1037	|	0.0052      0.6113	|
599       	0.0008    	0.0031    	23.763    |	0.0016      0.0257	|	0.0013      0.3481	|	0.0017      0.9687	|	0.0034      0.6855	|	0.0010      0.2627	|	0.0009      0.2350	|	0.0020      0.1844	|	0.0016      0.1084	|	0.0034      0.7809	|	0.0010      0.1099	|	0.0012      0.0643	|	0.0015      0.0784	|	0.0015      0.0448	|	0.0015      0.0529	|	0.0082      0.4199	|	0.0040      0.3292	|	0.0035      1.3814	|	0.0015      0.0839	|	0.0011      0.0617	|	0.0016      0.0669	|	0.0022      0.0262	|	0.0023      0.0253	|	0.0033      0.2176	|	0.0030      0.1515	|	0.0048      0.9951	|	0.0020      0.0319	|	0.0016      0.0263	|	0.0016      0.0272	|	0.0019      0.0113	|	0.0017      0.0120	|	0.0027      0.0987	|	0.0025      0.1000	|	0.0053      0.6209	|
624       	0.0008    	0.0030    	23.443    |	0.0016      0.0252	|	0.0013      0.3450	|	0.0017      0.9765	|	0.0033      0.6711	|	0.0011      0.2641	|	0.0009      0.2343	|	0.0020      0.1816	|	0.0016      0.1069	|	0.0033      0.7621	|	0.0010      0.1093	|	0.0012      0.0636	|	0.0015      0.0786	|	0.0015      0.0447	|	0.0016      0.0530	|	0.0073      0.3764	|	0.0038      0.3127	|	0.0039      1.5403	|	0.0015      0.0830	|	0.0011      0.0614	|	0.0016      0.0667	|	0.0022      0.0260	|	0.0022      0.0251	|	0.0034      0.2242	|	0.0031      0.1564	|	0.0046      0.9550	|	0.0020      0.0316	|	0.0015      0.0260	|	0.0016      0.0269	|	0.0018      0.0113	|	0.0017      0.0118	|	0.0026      0.0944	|	0.0026      0.1010	|	0.0057      0.6681	|
649       	0.0008    	0.0032    	23.438    |	0.0015      0.0249	|	0.0012      0.3408	|	0.0017      0.9625	|	0.0033      0.6718	|	0.0011      0.2717	|	0.0009      0.2317	|	0.0021      0.1911	|	0.0016      0.1081	|	0.0035      0.8034	|	0.0010      0.1103	|	0.0013      0.0646	|	0.0015      0.0785	|	0.0015      0.0445	|	0.0015      0.0523	|	0.0079      0.4071	|	0.0039      0.3175	|	0.0037      1.4726	|	0.0015      0.0827	|	0.0011      0.0617	|	0.0016      0.0672	|	0.0022      0.0260	|	0.0022      0.0251	|	0.0036      0.2333	|	0.0030      0.1547	|	0.0041      0.8588	|	0.0020      0.0317	|	0.0016      0.0261	|	0.0016      0.0270	|	0.0019      0.0114	|	0.0018      0.0120	|	0.0027      0.0971	|	0.0025      0.0973	|	0.0054      0.6245	|
674       	0.0008    	0.0035    	23.726    |	0.0015      0.0251	|	0.0013      0.3445	|	0.0017      0.9629	|	0.0033      0.6635	|	0.0010      0.2632	|	0.0009      0.2323	|	0.0021      0.1886	|	0.0016      0.1070	|	0.0033      0.7670	|	0.0010      0.1079	|	0.0012      0.0625	|	0.0015      0.0776	|	0.0014      0.0424	|	0.0015      0.0523	|	0.0077      0.3933	|	0.0039      0.3219	|	0.0034      1.3341	|	0.0015      0.0826	|	0.0012      0.0625	|	0.0016      0.0670	|	0.0022      0.0261	|	0.0022      0.0252	|	0.0033      0.2190	|	0.0030      0.1538	|	0.0046      0.9463	|	0.0019      0.0313	|	0.0015      0.0257	|	0.0016      0.0268	|	0.0018      0.0111	|	0.0017      0.0118	|	0.0026      0.0942	|	0.0026      0.1035	|	0.0049      0.5708	|
699       	0.0008    	0.0030    	23.682    |	0.0015      0.0249	|	0.0012      0.3389	|	0.0017      0.9527	|	0.0033      0.6611	|	0.0011      0.2706	|	0.0009      0.2289	|	0.0021      0.1952	|	0.0016      0.1099	|	0.0034      0.7816	|	0.0010      0.1099	|	0.0012      0.0639	|	0.0015      0.0783	|	0.0014      0.0441	|	0.0015      0.0521	|	0.0080      0.4119	|	0.0039      0.3212	|	0.0036      1.4079	|	0.0014      0.0819	|	0.0011      0.0614	|	0.0016      0.0659	|	0.0022      0.0258	|	0.0022      0.0247	|	0.0034      0.2203	|	0.0030      0.1528	|	0.0048      0.9878	|	0.0019      0.0312	|	0.0016      0.0260	|	0.0016      0.0267	|	0.0018      0.0113	|	0.0017      0.0117	|	0.0026      0.0969	|	0.0025      0.1002	|	0.0050      0.5818	|
724       	0.0008    	0.0030    	23.803    |	0.0015      0.0248	|	0.0012      0.3381	|	0.0017      0.9678	|	0.0032      0.6562	|	0.0010      0.2565	|	0.0008      0.2233	|	0.0021      0.1884	|	0.0016      0.1063	|	0.0033      0.7643	|	0.0009      0.1066	|	0.0012      0.0616	|	0.0014      0.0764	|	0.0014      0.0430	|	0.0015      0.0525	|	0.0081      0.4165	|	0.0039      0.3231	|	0.0037      1.4676	|	0.0014      0.0812	|	0.0011      0.0604	|	0.0016      0.0653	|	0.0022      0.0258	|	0.0022      0.0249	|	0.0033      0.2189	|	0.0031      0.1551	|	0.0045      0.9354	|	0.0019      0.0308	|	0.0015      0.0255	|	0.0016      0.0263	|	0.0018      0.0111	|	0.0017      0.0116	|	0.0026      0.0940	|	0.0024      0.0965	|	0.0047      0.5490	|
